policy,time_s,waiting_cars,reward,avg_speed,avg_co2
Cyclic,2736,0.0,-11.196354866027832,10.935760498046875,154.11924743652344
Cyclic,2750,1.0,-10.002212524414062,10.914546966552734,133.27903747558594
Cyclic,2755,0.0,-10.435571670532227,10.871708869934082,143.05978393554688
Cyclic,2767,0.0,-12.533621788024902,10.902796745300293,179.6289520263672
Cyclic,2772,1.0,-11.559181213378906,10.942917823791504,165.08676147460938
Cyclic,2787,2.0,-10.919641494750977,10.900810241699219,146.21969604492188
Cyclic,2792,2.0,-11.185693740844727,10.845202445983887,149.38531494140625
Cyclic,2806,1.0,-11.937602996826172,10.889408111572266,172.99514770507812
Cyclic,2811,1.0,-11.580192565917969,10.909618377685547,156.54986572265625
Cyclic,2823,1.0,-11.624307632446289,10.924612045288086,161.1079864501953
Cyclic,2828,1.0,-11.294416427612305,10.930586814880371,157.84408569335938
Cyclic,2843,0.0,-10.812365531921387,10.903491973876953,159.90354919433594
Cyclic,2848,0.0,-11.402339935302734,10.901765823364258,164.88140869140625
Cyclic,2862,0.0,-12.446023941040039,10.95755386352539,174.7965545654297
Cyclic,2867,2.0,-11.926145553588867,10.949437141418457,153.802978515625
Cyclic,2879,1.0,-10.760981559753418,10.92856216430664,158.05511474609375
Cyclic,2884,0.0,-11.21693229675293,10.858978271484375,187.94268798828125
Cyclic,2899,0.0,-12.752589225769043,10.951812744140625,160.03465270996094
Cyclic,2904,0.0,-12.90146255493164,10.958202362060547,159.37985229492188
Cyclic,2918,0.0,-10.580381393432617,10.940408706665039,147.01739501953125
Cyclic,2923,0.0,-11.055296897888184,10.940689086914062,156.66578674316406
Cyclic,2935,1.0,-10.5526762008667,10.879876136779785,143.55906677246094
Cyclic,2940,1.0,-10.8263578414917,10.869097709655762,151.67056274414062
Cyclic,2955,1.0,-11.095553398132324,10.862469673156738,155.3731689453125
Cyclic,2960,3.0,-11.569135665893555,10.828103065490723,150.38644409179688
Cyclic,2974,1.0,-12.071185111999512,10.8232421875,163.5901641845703
Cyclic,2979,0.0,-11.294380187988281,10.872956275939941,165.61683654785156
Cyclic,2991,0.0,-11.247897148132324,10.899643898010254,160.76039123535156
Cyclic,2996,0.0,-11.838356971740723,10.933924674987793,170.00357055664062
Cyclic,3011,0.0,-11.331512451171875,10.959566116333008,145.0580596923828
Cyclic,3016,1.0,-11.120753288269043,10.94212818145752,146.48794555664062
Cyclic,3030,0.0,-12.22115421295166,10.904518127441406,162.99737548828125
Cyclic,3035,0.0,-12.787126541137695,10.891072273254395,179.172607421875
Cyclic,3047,1.0,-10.148468971252441,10.943543434143066,140.20327758789062
Cyclic,3052,2.0,-10.692976951599121,10.90945816040039,144.1529998779297
Cyclic,3067,1.0,-11.267663955688477,10.822574615478516,173.64739990234375
Cyclic,3072,1.0,-12.365764617919922,10.852779388427734,179.2166748046875
Cyclic,3086,1.0,-11.86762809753418,10.932652473449707,175.21897888183594
Cyclic,3091,1.0,-11.086555480957031,10.945581436157227,143.1150360107422
Cyclic,3103,1.0,-10.76449203491211,10.915691375732422,165.09747314453125
Cyclic,3108,1.0,-10.622666358947754,10.908082962036133,145.2855682373047
Cyclic,3123,0.0,-11.940722465515137,10.880876541137695,176.638916015625
Cyclic,3128,0.0,-12.889544486999512,10.88916015625,179.06289672851562
Cyclic,3142,1.0,-11.03614616394043,10.896480560302734,161.26585388183594
Cyclic,3147,2.0,-11.350460052490234,10.872686386108398,152.16506958007812
Cyclic,3159,1.0,-11.410768508911133,10.8379545211792,162.82481384277344
Cyclic,3164,2.0,-12.469034194946289,10.853882789611816,161.16917419433594
Cyclic,3179,1.0,-11.670509338378906,10.933961868286133,163.82144165039062
Cyclic,3184,1.0,-11.772916793823242,10.943670272827148,164.35032653808594
Cyclic,3198,0.0,-11.227015495300293,10.924736976623535,154.69285583496094
Cyclic,3203,0.0,-10.855341911315918,10.915020942687988,154.69427490234375
Cyclic,3215,0.0,-11.889361381530762,10.861418724060059,171.5332794189453
Cyclic,3220,1.0,-12.182722091674805,10.889532089233398,156.6427001953125
Cyclic,3235,1.0,-10.788723945617676,10.917863845825195,136.50848388671875
Cyclic,3240,2.0,-9.883201599121094,10.877946853637695,119.83253479003906
